Player,TEAM,AB,Hits,Runs,RBI,1B,2B,3B,HR,BB,BA,OBP,SLG,OPS,MG,,TEAM,GP,AB,Hits,Runs,RBI,1B,2B,3B,HR,BB,BA,OBP,SLG,OPS,MG
BRAYANT APONTE,MP,54,23,13,13,17,4,1,1,5,0.426,0.475,0.593,1.067,7,,,,,,,,,,,,,,,,,
FRANK LAROCCA,FL,66,28,13,15,24,3,1,0,8,0.424,0.486,0.500,0.986,0,,,,,,,,,,,,,,,,,
JOE MAMONE,MC,85,36,25,15,31,4,0,1,5,0.424,0.456,0.506,0.961,1,,,,,,,,,,,,,,,,,
MIKE KLESCHINSKY JR,MK,78,33,29,27,15,11,0,7,10,0.423,0.489,0.833,1.322,2,,,,,,,,,,,,,,,,,
TIM FERRO,BK,71,30,9,11,27,3,0,0,3,0.423,0.446,0.465,0.911,3,,,,,,,,,,,,,,,,,
AUSTIN SILVERBERG,PP,74,31,17,21,24,6,0,1,3,0.419,0.442,0.541,0.982,0,,,,,,,,,,,,,,,,,
JEFF FRIEDMAN,BK,86,36,19,13,30,4,1,1,1,0.419,0.425,0.523,0.949,1,,,,,,,,,,,,,,,,,
DAVE MEYER,DM,77,32,19,14,28,3,1,0,5,0.416,0.451,0.481,0.932,0,,,,,,,,,,,,,,,,,
IAN MCDERMOTT,TC,75,31,18,13,24,4,1,2,3,0.413,0.436,0.573,1.009,1,,,,,,,,,,,,,,,,,
JUSTIN KRAUSS,MK,63,26,15,13,24,1,1,0,2,0.413,0.431,0.460,0.891,5,,,,,,,,,,,,,,,,,
BILL CHIUSANO,AG,68,28,15,14,20,7,1,0,2,0.412,0.429,0.544,0.973,1,,,,,,,,,,,,,,,,,
ANDREW NICHOLS,MC,73,30,11,6,28,2,0,0,6,0.411,0.456,0.438,0.894,1,,,,,,,,,,,,,,,,,
EVAN STEINBERG,TW,61,25,11,17,25,0,0,0,4,0.410,0.446,0.410,0.856,4,,,,,,,,,,,,,,,,,
RICH ALLEN,TW,83,34,9,15,34,0,0,0,1,0.410,0.417,0.410,0.826,0,,,,,,,,,,,,,,,,,
JIMMY MURPHY,FL,66,27,10,17,27,0,0,0,3,0.409,0.435,0.409,0.844,4,,,,,,,,,,,,,,,,,
PAT PINGARO,PP,71,29,6,16,27,1,0,0,2,0.408,0.425,0.408,0.833,0,,,,,,,,,,,,,,,,,
ROBBIE JUERGENS,DP,59,24,12,12,22,2,0,0,3,0.407,0.435,0.441,0.876,4,,,,,,,,,,,,,,,,,
BRIAN NIEDERMAN,SD,64,26,16,4,21,0,5,0,2,0.406,0.424,0.563,0.987,4,,,,,,,,,,,,,,,,,
BRYAN FRANK,DM,69,28,17,27,17,8,2,1,6,0.406,0.453,0.623,1.077,2,,,,,,,,,,,,,,,,,
SETH DRASHINSKY,SD,79,32,23,18,27,3,2,0,6,0.405,0.447,0.494,0.941,2,,,,,,,,,,,,,,,,,
JORDAN BRENT,MK,77,31,14,13,26,4,0,1,2,0.403,0.418,0.494,0.911,1,,,,,,,,,,,,,,,,,
NICK LAPETINA,TC,72,29,10,14,27,0,2,0,3,0.403,0.427,0.458,0.885,1,,,,,,,,,,,,,,,,,
ANDREW RODRIGUEZ,MK,75,30,22,6,25,4,0,1,4,0.400,0.430,0.493,0.924,3,,,,,,,,,,,,,,,,,
CONNOR SCHMIDT,JL,70,28,14,24,24,3,1,0,3,0.400,0.425,0.471,0.896,2,,,,,,,,,,,,,,,,,
PETER KOKOSZKA,MP,85,34,16,16,29,3,2,0,3,0.400,0.420,0.482,0.903,0,,,,,,,,,,,,,,,,,
MIKE BALLO,TW,83,33,18,22,29,3,1,0,4,0.398,0.425,0.458,0.883,0,,,,,,,,,,,,,,,,,
TONY ROEGIERS,EB,81,32,16,13,26,5,1,0,4,0.395,0.424,0.481,0.905,1,,,,,,,,,,,,,,,,,
HOLDEN SILVERBERG,PP,71,28,17,18,23,3,0,2,1,0.394,0.403,0.521,0.924,1,,,,,,,,,,,,,,,,,
BRANDON TORNETTA,GM,74,29,19,24,19,5,3,2,2,0.392,0.408,0.622,1.030,3,,,,,,,,,,,,,,,,,
GARY SZEMCSAK,JB,74,29,15,15,25,4,0,0,5,0.392,0.430,0.446,0.876,1,,,,,,,,,,,,,,,,,
JOE PICARELLO,TC,74,29,25,22,21,4,2,2,4,0.392,0.423,0.581,1.004,1,,,,,,,,,,,,,,,,,
JEFF GODDARD,MG,77,30,19,22,22,7,1,0,5,0.390,0.427,0.506,0.933,0,,,,,,,,,,,,,,,,,
JUSTIN COLAROCCO,BK,77,30,20,16,24,6,0,0,4,0.390,0.420,0.468,0.887,2,,,,,,,,,,,,,,,,,
MIKE STEINBERG,MP,72,28,12,10,23,3,2,0,1,0.389,0.397,0.486,0.883,3,,,,,,,,,,,,,,,,,
JAKE WOLOSHYN,SD,72,28,13,22,19,5,3,1,1,0.389,0.397,0.583,0.981,3,,,,,,,,,,,,,,,,,
WILL PEREZ,MG,70,27,12,16,22,3,2,0,6,0.386,0.434,0.486,0.920,1,,,,,,,,,,,,,,,,,
JUAN GALLARDO,TC,78,30,13,16,26,1,2,1,1,0.385,0.392,0.487,0.880,1,,,,,,,,,,,,,,,,,
MIKE ROSENSTOCK,ER,60,23,9,18,22,0,1,0,2,0.383,0.403,0.417,0.820,5,,,,,,,,,,,,,,,,,
SEAMUS COYLE,PP,76,29,19,19,19,5,2,3,1,0.382,0.390,0.618,1.008,1,,,,,,,,,,,,,,,,,
MIKE BRULLO,DP,71,27,17,15,16,7,1,3,5,0.380,0.421,0.634,1.055,1,,,,,,,,,,,,,,,,,
MIKE HEITZNER,MG,71,27,15,16,23,1,3,0,10,0.380,0.457,0.479,0.936,1,,,,,,,,,,,,,,,,,
PAUL LOMBARDI,JL,79,30,10,10,27,1,1,0,2,0.380,0.395,0.405,0.800,0,,,,,,,,,,,,,,,,,
VINNY SPITALETTO,MG,66,25,12,15,17,4,2,2,5,0.379,0.423,0.591,1.013,2,,,,,,,,,,,,,,,,,
CHRIS CURTI,DM,74,28,11,15,22,2,3,1,0,0.378,0.378,0.527,0.905,1,,,,,,,,,,,,,,,,,
